"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"76",NA,69,NA,76,14,31,14,31,NA,15,NA,45,NA,45,NA,84,11,77,13,67,13,67,NA,23,NA,NA,NA
"77",12,74,10,68,NA,33,NA,33,NA,17,NA,75,NA,75,12,63,NA,82,NA,72,NA,76,NA,24,NA,NA,NA
"78",NA,85,NA,73,NA,37,NA,37,NA,22,15,2,15,2,NA,80,12,66,14,32,NA,82,NA,25,NA,NA,NA
"79",13,71,NA,75,NA,38,NA,38,NA,30,NA,3,NA,3,13,67,NA,79,NA,36,14,46,NA,27,NA,NA,NA
"80",NA,80,NA,81,NA,39,NA,39,12,74,NA,4,NA,4,NA,71,13,32,NA,46,NA,47,NA,30,NA,NA,NA
"81",14,66,11,77,NA,42,NA,42,NA,80,NA,5,NA,5,NA,83,NA,34,NA,47,NA,48,14,44,NA,NA,NA
"82",NA,68,NA,82,NA,48,NA,48,13,76,NA,9,NA,9,14,77,NA,35,NA,48,NA,66,NA,46,NA,NA,NA
"83",NA,75,12,4,15,10,15,10,NA,81,NA,10,NA,10,NA,82,NA,41,NA,66,15,68,NA,47,NA,NA,NA
"84",15,72,NA,14,NA,16,NA,16,14,67,NA,12,NA,12,15,78,14,48,15,76,NA,72,NA,48,NA,NA,NA
"85",NA,76,NA,69,NA,69,NA,69,NA,77,NA,30,NA,30,NA,81,NA,71,NA,82,NA,80,NA,66,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
